   ,VITI,MUAJI,PERSHKRIMI_SEKTORIT,LLOJI_KOMPAN,KOMUNA,PEN_NO,PEN_TYPE_DESC_F,NR_TATIM,NR_GJOBAVE,VLERA
18798,2020,5,Transporti dhe magazinimi,SH.P.K.,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,2,2,1250
18799,2019,3,Transporti dhe magazinimi,Shoqëri akcionare,MITROVICË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18800,2022,4,Industria perpunuese,SH.P.K.,PODUJEVË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,2000
18801,2018,6,Arsimi,Individual,FERIZAJ,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18802,2022,1,Transporti dhe magazinimi,Individual,SKENDERAJ,422,Nd.Neni.53.6-Law 03/L-222,2,2,5125
18803,2017,3,Person Fizik,Person fizik,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18804,2022,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,VITI,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
18805,2020,5,Person Fizik,Person fizik,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,2,2,1250
18806,2023,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18807,2022,9,Industria nxjerrese,SH.P.K.,RAHOVEC,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18808,2022,2,Aktivitetet e tjera sherbyese,Individual,RAHOVEC,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18809,2020,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18810,2019,10,"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,SUHAREKË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,500
18811,2018,3,Person Fizik,Person fizik,OBILIQ,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,2,1000
18812,2018,9,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJAKOVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18813,2020,6,Transporti dhe magazinimi,Individual,PRIZREN,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
18814,2019,11,Transporti dhe magazinimi,Individual,PODUJEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,625
18815,2022,10,Person Fizik,Person fizik,GJILAN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18816,2019,10,Industria perpunuese,SH.P.K.,RAHOVEC,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18817,2022,5,Informimi dhe komunikimi,Individual,GLLOGOC,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,625
18818,2021,9,"Artet, Argetimi dhe rekreacioni",SH.P.K.,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18819,2022,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJILAN,423,Nd.Neni.59-Law 03/L-222,1,1,684.51
18820,2018,1,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PODUJEVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18821,2022,6,Akomodimi dhe sherbimi ushqimor,SH.P.K.,FERIZAJ,409,Nd.Neni.53(5)-Law 03/L-222,1,1,100
18822,2018,12,Ndertimtaria,Individual,KLINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18823,2017,12,"Aktivitetet profesionale, shkencore dhe teknike",Ortakëria e përgj.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,2,250
18824,2021,12,"Artet, Argetimi dhe rekreacioni",Individual,GJILAN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18825,2019,1,Akomodimi dhe sherbimi ushqimor,Individual,SHTIME,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18826,2022,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,SUHAREKË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18827,2017,12,Transporti dhe magazinimi,Ortakëria e përgj.,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,1,4,500
18828,2017,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,LIPJAN,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,3,1500
18829,2018,12,Industria perpunuese,Individual,LIPJAN,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18830,2021,9,Transporti dhe magazinimi,Individual,KAMENICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18831,2022,12,Transporti dhe magazinimi,Individual,MALISHEVË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18832,2019,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,ISTOG,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,2500
18833,2022,12,Person Fizik,Person fizik,KLLOKOT,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18834,2019,12,Akomodimi dhe sherbimi ushqimor,Individual,MITROVICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18835,2017,4,Informimi dhe komunikimi,Individual,MITROVICË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18836,2022,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PEJË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18837,2020,4,Transporti dhe magazinimi,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
18838,2018,12,Industria perpunuese,Individual,DEÇAN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18839,2017,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,440,Nd.Neni.77(1.9)-Law 04/L-080,1,5,10000
18840,2023,3,Aktivitetet e patundshmerise,Individual,FERIZAJ,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,1000
18841,2022,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FERIZAJ,407,Nd.Neni.53( 2.3)-Law 03/L-222,5,5,2500
18842,2022,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FERIZAJ,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18843,2017,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRISHTINË,423,Nd.Neni.59-Law 03/L-222,3,3,1579.49
18844,2021,9,Akomodimi dhe sherbimi ushqimor,SH.P.K.,HANI I ELEZIT,422,Nd.Neni.53.6-Law 03/L-222,2,2,250
18845,2021,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,GJAKOVË,406,Nd.Neni.53(2.2)-Law 03/L-222,4,4,1000
18846,2021,12,Person Fizik,Person fizik,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,4,4,500
18847,2018,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FUSHË KOSOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18848,2023,3,Industria perpunuese,Individual,PEJË,422,Nd.Neni.53.6-Law 03/L-222,2,2,625
18849,2018,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJILAN,408,Nd.Neni.53(2.4)-Law 03/L-222,3,3,3000
18850,2018,4,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,OBILIQ,422,Nd.Neni.53.6-Law 03/L-222,1,2,500
18851,2022,2,Akomodimi dhe sherbimi ushqimor,Individual,NOVOBËRDË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18852,2022,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FUSHË KOSOVË,423,Nd.Neni.59-Law 03/L-222,1,1,32.77
18853,2017,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PEJË,405,Nd.Neni.53(2.1)-Law 03/L-222,5,5,1000
18854,2023,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18855,2021,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,12,13,2125
18856,2019,8,Industria perpunuese,Individual,VUSHTRRI,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
18857,2019,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,6,6,750
18858,2020,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRIZREN,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,2000
18859,2017,3,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18860,2022,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRIZREN,407,Nd.Neni.53( 2.3)-Law 03/L-222,4,4,2500
18861,2019,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRISHTINË,423,Nd.Neni.59-Law 03/L-222,8,8,3209.34
18862,2018,12,Industria perpunuese,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,500
18863,2021,2,Person Fizik,Person fizik,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18864,2023,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,7,7,1000
18865,2018,7,Akomodimi dhe sherbimi ushqimor,SH.P.K.,ISTOG,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18866,2021,11,Akomodimi dhe sherbimi ushqimor,Individual,KLINË,422,Nd.Neni.53.6-Law 03/L-222,4,4,500
18867,2022,8,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJILAN,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
18868,2022,12,Akomodimi dhe sherbimi ushqimor,Ortakëria e përgj.,PRISHTINË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18869,2018,1,"Artet, Argetimi dhe rekreacioni",SH.P.K.,PRISHTINË,429,Nd.Neni.76(1.5)-Law 04/L-080,1,1,3000
18870,2019,7,"Artet, Argetimi dhe rekreacioni",SH.P.K.,MITROVICË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18871,2020,12,Industria perpunuese,Individual,KAMENICË,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
18872,2020,8,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,2,2,375
18873,2019,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MITROVICË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18874,2022,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,OBILIQ,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,2000
18875,2020,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FERIZAJ,423,Nd.Neni.59-Law 03/L-222,1,1,150
18876,2017,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,MITROVICË,407,Nd.Neni.53( 2.3)-Law 03/L-222,2,2,1000
18877,2022,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,KAMENICË,422,Nd.Neni.53.6-Law 03/L-222,2,2,1250
18878,2019,1,Industria perpunuese,Individual,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18879,2022,5,Ndertimtaria,SH.P.K.,GJILAN,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
18880,2019,3,Person Fizik,Person fizik,ISTOG,429,Nd.Neni.76(1.5)-Law 04/L-080,1,1,3000
18881,2020,11,Industria perpunuese,Individual,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,1000
18882,2018,6,"Artet, Argetimi dhe rekreacioni",SH.P.K.,LIPJAN,440,Nd.Neni.77(1.9)-Law 04/L-080,1,1,2000
18883,2017,8,Akomodimi dhe sherbimi ushqimor,Individual,GJILAN,422,Nd.Neni.53.6-Law 03/L-222,6,6,1000
18884,2021,12,Person Fizik,Person fizik,MALISHEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
18885,2017,10,Sherbimet administrative dhe mbeshtetese,Individual,GJILAN,427,Nd.Neni.76(1.3)-Law 04/L-080,1,1,10000
18886,2018,9,Person Fizik,Person fizik,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,4,5,750
18887,2019,10,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,2,2,250
18888,2017,5,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PODUJEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18889,2019,4,Mungon aktiviteti,OJQ,VUSHTRRI,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18890,2017,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VUSHTRRI,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
18891,2019,6,Industria perpunuese,Individual,PEJË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,2000
18892,2023,3,Bujqesia;Pylltaria dhe Peshkimi,Individual,MALISHEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18893,2021,8,Industria perpunuese,SH.P.K.,VITI,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18894,2023,5,Akomodimi dhe sherbimi ushqimor,Individual,RAHOVEC,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,375
18895,2020,11,Akomodimi dhe sherbimi ushqimor,SH.P.K.,DRAGASH,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,250
18896,2018,10,Informimi dhe komunikimi,Individual,LEPOSAVIQ,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18897,2023,5,Industria perpunuese,SH.P.K.,SHTIME,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,4000
18898,2022,8,Akomodimi dhe sherbimi ushqimor,SH.P.K.,GJAKOVË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18899,2022,3,Industria perpunuese,Individual,DEÇAN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18900,2021,11,Aktivitetet e tjera sherbyese,SH.P.K.,LIPJAN,423,Nd.Neni.59-Law 03/L-222,1,1,63.75
18901,2022,11,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MITROVICË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,3000
18902,2020,10,Transporti dhe magazinimi,Individual,PEJË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18903,2019,6,Akomodimi dhe sherbimi ushqimor,SH.P.K.,FERIZAJ,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
18904,2020,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18905,2023,6,Industria perpunuese,Individual,PEJË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,500
18906,2023,5,Ndertimtaria,Individual,VITI,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18907,2021,7,Aktivitetet e tjera sherbyese,SH.P.K.,VUSHTRRI,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18908,2022,9,Person Fizik,Person fizik,VITI,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18909,2018,6,Informimi dhe komunikimi,Individual,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,2,250
18910,2022,9,Akomodimi dhe sherbimi ushqimor,Individual,ISTOG,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
18911,2017,4,"Artet, Argetimi dhe rekreacioni",Shoqëri akcionare,FERIZAJ,438,Nd.Neni.77(1.7)-Law 04/L-080,1,1,1000
18912,2018,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,VUSHTRRI,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
18913,2021,8,Industria perpunuese,Individual,KAMENICË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18914,2017,6,Industria perpunuese,SH.P.K.,GJILAN,422,Nd.Neni.53.6-Law 03/L-222,1,4,500
18915,2019,4,Akomodimi dhe sherbimi ushqimor,Individual,GLLOGOC,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
18916,2017,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,500
18917,2023,7,Industria nxjerrese,SH.P.K.,GJAKOVË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18918,2018,7,Person Fizik,Person fizik,PRISHTINË,403,Nd.Neni.50 (1)-Law 03/L-222,1,1,500
18919,2019,8,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GLLOGOC,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,3000
18920,2021,7,Industria perpunuese,Individual,KAMENICË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18921,2018,2,Person Fizik,Person fizik,SUHAREKË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
18922,2022,5,Ndertimtaria,Individual,FUSHË KOSOVË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,2000
18923,2019,9,Person Fizik,Person fizik,GJAKOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18924,2018,9,Akomodimi dhe sherbimi ushqimor,SH.P.K.,KLINË,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18925,2023,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJILAN,423,Nd.Neni.59-Law 03/L-222,3,3,860.15
18926,2020,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,VITI,422,Nd.Neni.53.6-Law 03/L-222,3,3,375
18927,2021,10,Industria perpunuese,Individual,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,13,14,7250
18928,2018,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,MAMUSHË,405,Nd.Neni.53(2.1)-Law 03/L-222,3,3,375
18929,2018,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,7,7,875
18930,2020,6,Transporti dhe magazinimi,SH.P.K.,PRISHTINË,422,Nd.Neni.53.6-Law 03/L-222,6,7,4250
18931,2022,11,Industria perpunuese,Ortakëria e përgj.,PRIZREN,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18932,2022,12,Akomodimi dhe sherbimi ushqimor,Individual,ISTOG,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18933,2021,3,Akomodimi dhe sherbimi ushqimor,SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18934,2022,7,Industria perpunuese,Individual,FERIZAJ,422,Nd.Neni.53.6-Law 03/L-222,2,2,1000
18935,2017,5,Person Fizik,Person fizik,FERIZAJ,407,Nd.Neni.53( 2.3)-Law 03/L-222,2,3,1500
18936,2023,7,Aktivitetet e tjera sherbyese,Individual,MALISHEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
18937,2018,6,Akomodimi dhe sherbimi ushqimor,Individual,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,6,26,3375
18938,2019,1,Mungon aktiviteti,OJQ,PRIZREN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18939,2018,4,Akomodimi dhe sherbimi ushqimor,Individual,GJILAN,422,Nd.Neni.53.6-Law 03/L-222,1,8,1000
18940,2019,8,Aktivitetet e tjera sherbyese,Individual,SHTIME,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18941,2017,11,Ndertimtaria,SH.P.K.,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18942,2023,1,Person Fizik,Person fizik,PRISHTINË,406,Nd.Neni.53(2.2)-Law 03/L-222,2,2,750
18943,2023,5,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,FERIZAJ,405,Nd.Neni.53(2.1)-Law 03/L-222,4,4,625
18944,2017,1,Industria perpunuese,SH.P.K.,PRIZREN,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18945,2018,2,Ndertimtaria,Individual,MALISHEVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18946,2019,9,Industria perpunuese,Individual,PEJË,422,Nd.Neni.53.6-Law 03/L-222,5,5,750
18947,2020,5,Industria perpunuese,Individual,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18948,2022,10,Akomodimi dhe sherbimi ushqimor,Individual,GJILAN,422,Nd.Neni.53.6-Law 03/L-222,3,3,500
18949,2022,2,Person Fizik,Person fizik,FUSHË KOSOVË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,1000
18950,2021,8,Ndertimtaria,SH.P.K.,FERIZAJ,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18951,2022,10,"Aktivitetet profesionale, shkencore dhe teknike",SH.P.K.,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18952,2023,7,Transporti dhe magazinimi,SH.P.K.,KLINË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18953,2022,9,Industria perpunuese,Ortakëria e përgj.,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18954,2021,3,Akomodimi dhe sherbimi ushqimor,Individual,GJAKOVË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18955,2023,7,Aktivitetet e tjera sherbyese,Individual,FUSHË KOSOVË,423,Nd.Neni.59-Law 03/L-222,1,1,203.75
18956,2018,4,Bujqesia;Pylltaria dhe Peshkimi,SH.P.K.,PRISHTINË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18957,2017,6,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,LIPJAN,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18958,2018,8,Industria perpunuese,Individual,RAHOVEC,423,Nd.Neni.59-Law 03/L-222,1,1,5849.85
18959,2023,7,Bujqesia;Pylltaria dhe Peshkimi,Individual,SUHAREKË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18960,2021,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,PRIZREN,422,Nd.Neni.53.6-Law 03/L-222,1,1,500
18961,2022,6,Person Fizik,Person fizik,NOVOBËRDË,423,Nd.Neni.59-Law 03/L-222,1,1,368
18962,2020,3,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,423,Nd.Neni.59-Law 03/L-222,4,4,428.07
18963,2018,9,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLINË,408,Nd.Neni.53(2.4)-Law 03/L-222,2,2,4000
18964,2023,1,Sherbimet administrative dhe mbeshtetese,Individual,PRIZREN,405,Nd.Neni.53(2.1)-Law 03/L-222,2,3,375
18965,2021,9,Transporti dhe magazinimi,Individual,MITROVICË VERIORE,422,Nd.Neni.53.6-Law 03/L-222,2,2,250
18966,2017,4,Akomodimi dhe sherbimi ushqimor,Individual,PODUJEVË,431,Nd.Neni.76(1.7)-Law 04/L-080,1,1,2000
18967,2022,6,Industria perpunuese,Individual,FERIZAJ,405,Nd.Neni.53(2.1)-Law 03/L-222,2,2,250
18968,2017,9,Akomodimi dhe sherbimi ushqimor,Individual,VITI,422,Nd.Neni.53.6-Law 03/L-222,1,2,250
18969,2023,2,Akomodimi dhe sherbimi ushqimor,SH.P.K.,NOVOBËRDË,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
18970,2019,2,Ndertimtaria,Individual,SKENDERAJ,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18971,2019,4,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,PRISHTINË,423,Nd.Neni.59-Law 03/L-222,4,4,1346.53
18972,2018,12,Ndertimtaria,SH.P.K.,SUHAREKË,408,Nd.Neni.53(2.4)-Law 03/L-222,1,1,2000
18973,2021,12,Bujqesia;Pylltaria dhe Peshkimi,Individual,ISTOG,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
18974,2017,1,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Ortakëria e përgj.,KAMENICË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18975,2023,2,"Artet, Argetimi dhe rekreacioni",SH.P.K.,PEJË,422,Nd.Neni.53.6-Law 03/L-222,1,1,250
18976,2023,6,Industria perpunuese,SH.P.K.,PRISHTINË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,500
18977,2019,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,Individual,KLINË,406,Nd.Neni.53(2.2)-Law 03/L-222,1,1,250
18978,2020,2,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,PRISHTINË,423,Nd.Neni.59-Law 03/L-222,1,1,76.12
18979,2017,7,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,LIPJAN,422,Nd.Neni.53.6-Law 03/L-222,1,1,500
18980,2017,12,Industria perpunuese,Individual,SKENDERAJ,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18981,2019,9,Transporti dhe magazinimi,Individual,DEÇAN,407,Nd.Neni.53( 2.3)-Law 03/L-222,1,1,500
18982,2021,9,"Artet, Argetimi dhe rekreacioni",Individual,FERIZAJ,404,Nd.Neni.53 (1)-Law 03/L-222,1,1,125
18983,2021,10,Tregtia me shumice dhe pakice; Riparimi i mjeteve motorike dhe motoeikletave,SH.P.K.,GJAKOVË,406,Nd.Neni.53(2.2)-Law 03/L-222,2,2,500
18984,2023,8,Sherbimet administrative dhe mbeshtetese,SH.P.K.,FUSHË KOSOVË,422,Nd.Neni.53.6-Law 03/L-222,1,1,125
18985,2018,6,Aktivitetet e shendetit te njeriut dhe te punes sociale,Individual,PRISHTINË,405,Nd.Neni.53(2.1)-Law 03/L-222,1,1,125
